NO3_4mM_1	NO3_4mM_2	NO3_12mM_1	NO3_12mM_2
HaLaN_01283	0	0	55.764156	70.91626
HaLaN_01284	0	0	80.864929	84.605095
HaLaN_01287	0	0	11.050893	37.016575
HaLaN_01290	0	0	8.847085	2.920056
HaLaN_01291	0	0	12.971743	12.635417
HaLaN_01295	0	0	122.767639	149.964767
HaLaN_01298	217.445724	98.06929	99.365295	105.75605
HaLaN_01301	499.19577	627.1073	27.711882	27.303768
HaLaN_01302	603.860962	499.266327	25.572037	20.319271
HaLaN_01325	0	0	3.642375	7.196036
HaLaN_01329	0	0	183.306595	271.488708
HaLaN_01339	949.35675	1290.03894	788.957336	762.48877
HaLaN_01348	158.617798	146.200851	139.997147	179.07048
HaLaN_01349	0	0	71.934715	63.018536
HaLaN_01363	243.774048	117.550858	70.901688	65.626762
HaLaN_01371	0	0	113.682205	152.143326
HaLaN_01372	76.419708	141.828018	128.561295	152.416656
HaLaN_01378	215.970947	255.215744	121.776749	135.312027
HaLaN_01381	0	0	46.123817	33.874378
HaLaN_01383	0	0	34.952045	32.951633
HaLaN_01385	0	0	29.348772	23.795147
HaLaN_01390	4.53321	27.893925	10.85113	11.5137
HaLaN_01399	100.379951	120.088112	119.387596	70.048111
HaLaN_01407	60.399113	81.962593	78.649422	82.87352
HaLaN_01411	0	0	23.162239	22.185553
HaLaN_01415	208.802841	318.61908	137.373672	124.456749
HaLaN_01418	0	0	6.213227	11.667328
HaLaN_01420	0	0	10.050334	5.618456
HaLaN_01428	0	0	14.390578	17.637634
HaLaN_01434	0	0	12.17766	8.553949
HaLaN_01438	0	0	0.842902	0.828385
HaLaN_01442	235.405884	208.53656	86.011292	94.96817
HaLaN_01461	245.983215	230.25148	430.162354	473.650269
HaLaN_01465	0	0	27.854494	20.6861
HaLaN_01467	0	0	1.911317	1.728775
HaLaN_01468	0	0	14.94406	17.183403
HaLaN_01470	0	0	14.454499	17.746433
HaLaN_01471	0	0	30.318958	27.730461
HaLaN_01473	0	0	9.544953	7.208888
HaLaN_01477	334.348083	224.486069	235.672028	222.714828
HaLaN_01478	0	0	32.877499	80.245522
HaLaN_01481	0	0	18.678791	18.587883
HaLaN_01489	1388.222046	1626.685791	895.82373	644.365112
HaLaN_01490	1448.549683	1621.206665	78.474815	36.157589
HaLaN_01495	368.572876	311.626831	297.536591	206.134583
HaLaN_01499	977.051453	988.192749	210.10994	169.538055
HaLaN_01502	0	0	11.412622	15.728482
HaLaN_01504	0	0	1.707397	9.482807
HaLaN_01507	244.982697	253.63678	200.733337	258.872437
