Gene	NO3_2mM_1	NO3_2mM_2	NO3_15mM_1	NO3_15mM_2
HaLaN_01023	0	0	4.908611	8.768279
HaLaN_01026	0	0	6.1852	0
HaLaN_01027	0	0	1.244234	3.135269
HaLaN_01030	0	168.394943	11.589079	13.678153
HaLaN_01031	84.10791	116.367485	88.328262	77.061935
HaLaN_01032	0	43.887699	35.300617	66.531464
HaLaN_01033	867.894104	917.576416	663.009033	657.708374
HaLaN_01034	469.301208	249.999512	334.368317	219.800964
HaLaN_01035	50.78529	30.462198	53.617813	39.30946
HaLaN_01038	0	0	18.965799	16.338408
HaLaN_01040	0	0	7.069948	10.853955
HaLaN_01043	0	0	21.495222	19.935427
HaLaN_01045	36.753738	0	4.282102	1.303738
HaLaN_01046	0	0	0	2.057944
HaLaN_01048	202.08519	76.822372	126.462646	128.222885
HaLaN_01053	231.64711	384.624817	270.572357	257.361603
HaLaN_01054	87.322334	0	83.058846	85.696045
HaLaN_01059	0	0	17.736631	10.726603
HaLaN_01061	0	0	4.853091	7.051966
HaLaN_01062	0	0	7.620259	15.559867
HaLaN_01063	48.310913	75.917282	5.142969	0
HaLaN_01067	0	53.172588	43.456444	32.877777
HaLaN_01068	86.783157	95.789978	99.060333	80.874725
HaLaN_01069	0	0	0	5.525919
HaLaN_01070	0	0	6.167913	8.949028
HaLaN_01071	0	0	0	22.447176
HaLaN_01072	0	0	9.476219	24.055084
HaLaN_01073	0	0	8.574394	9.702782
HaLaN_01074	0	0	16.046513	26.476625
HaLaN_01075	109.458672	113.306557	7.825417	5.446476
HaLaN_01082	0	0	0	17.412184
HaLaN_01084	0	0	8.813304	8.425958
HaLaN_01085	0	0	0	8.230191
HaLaN_01086	0	0	0.707927	1.046595
HaLaN_01087	0	0	2.265037	0
HaLaN_01089	0	0	3.46416	0
HaLaN_01090	0	0	11.453287	16.89633
HaLaN_01091	0	0	9.795361	9.702901
HaLaN_01092	0	0	10.127845	25.660488
HaLaN_01103	37.821484	43.984417	40.319336	41.694855
HaLaN_01104	0	0	0	7.618101
HaLaN_01107	0	0	17.156218	9.349366
HaLaN_01110	0	0	47.223557	40.730228
HaLaN_01119	0	0	5.170421	10.933108
HaLaN_01120	0	0	0	35.502865
HaLaN_01121	0	0	61.407551	57.26992
HaLaN_01124	0	0	3.808636	3.612012
HaLaN_01125	0	0	8.517529	5.004975
HaLaN_01130	0	0	32.439526	36.377968
HaLaN_01131	0	0	5.729575	5.639217
HaLaN_01132	0	0	3.094897	6.618064
HaLaN_01133	0	0	0	0.975585
HaLaN_01134	40.630154	21.858635	33.129356	22.553726
HaLaN_01135	33.052124	19.488977	5.458172	7.664124
HaLaN_01136	0	0	6.318932	9.512893
HaLaN_01137	0	0	0	0.808149
HaLaN_01138	0	107.094383	75.99453	92.121758
HaLaN_01141	0	0	1.973533	1.95121
HaLaN_01145	0	0	1.849153	2.994666
HaLaN_01146	0	0	5.242723	0
HaLaN_01148	38.50037	82.504509	63.296898	75.440117
HaLaN_01151	0	0	22.173292	20.866459
HaLaN_01153	0	0	1.113213	0.403353
HaLaN_01157	0	0	114.330719	152.690964
HaLaN_01159	0	0	16.890356	0
HaLaN_01162	0	0	9.180119	0
HaLaN_01163	0	0	57.54512	90.180786
HaLaN_01165	0	0	12.932989	14.768954
HaLaN_01166	0	0	0	26.377836
HaLaN_01168	0	0	0	17.600702
HaLaN_01171	0	0	3.241459	0
HaLaN_01174	0	0	26.517437	30.067152
HaLaN_01175	0	0	0	0.857676
HaLaN_01176	1.12581	0	0	0
HaLaN_01182	0	0	25.641106	11.666702
HaLaN_01193	0	0	0.608125	0.929731
HaLaN_01198	0	0	0.42381	0
HaLaN_01205	0	0	27.820383	10.871991
HaLaN_01206	0	0	2.936567	0
HaLaN_01207	0	0	7.299129	0
HaLaN_01210	0	0	482.264648	0
HaLaN_01211	0	0	0.310058	7.081161
